class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,173.04,173.23,166.74,167.25,83.33,93.98,176.65,177.07,115.50,116.64
1,9.65,10.20,170.64,170.20,70.13,104.95,175.03,173.92,106.08,106.97
2,79.76,77.15,167.70,167.95,99.13,84.95,92.96,97.21,161.13,160.27
3,79.86,80.72,175.58,175.13,67.51,116.61,90.37,85.63,151.39,151.67
4,20.78,22.20,158.20,157.39,155.40,152.70,20.18,20.77,171.82,172.31
5,68.22,66.63,174.53,174.48,95.98,85.19,174.56,173.82,114.56,115.45
6,68.70,68.38,164.61,164.13,96.06,82.66,60.15,54.50,136.57,137.38
7,43.65,43.66,162.79,160.12,82.72,83.85,174.89,174.48,168.84,160.13
8,65.77,67.57,162.18,165.56,86.56,96.59,96.94,93.40,160.44,160.05
9,84.28,87.49,96.92,96.19,157.24,152.84,113.29,116.86,132.43,129.06
10,166.43,165.74,165.14,163.44,155.91,163.97,144.09,119.54,107.17,108.64
