class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,173.04,173.23,166.74,167.25,83.33,93.98,176.65,177.07,115.50,116.64
1,20.78,22.20,158.20,157.39,155.40,152.70,20.18,20.77,171.82,172.31
2,68.22,66.63,174.53,174.48,95.98,85.19,174.56,173.82,114.56,115.45
3,84.28,87.49,96.92,96.19,157.24,152.84,113.29,116.86,132.43,129.06
4,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
5,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
6,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
7,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
8,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
9,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
10,152.58,141.77,127.33,123.63,97.03,120.08,173.22,44.80,156.74,130.19
